code_activity,name_activity,ar_name_activity
63206.0,Technicien de maintenance de systèmes laser,تقني في صيانة أنظمة الليزر
63205.0,Technicien de maintenance de systèmes de détection,تقني في صيانة أنظمة الكشف
63204.0,Technicien de maintenance de cartes électroniques,تقني في صيانة البطاقات الإلكترونية
63203.0,Régleur-étalonneur en électronique,معاير-مضبط في مجال الإلكترونيات
63202.0,Electromécanicien en installation et maintenance électronique,إلكترو نيكي في التركيب والصيانة الإلكترونية
63201.0,Electromécanicien de maintenance de cartes électroniques,إلكترو نيكي في صيانة البطاقات الإلكترونية
63128.0,Technicien supérieur pneumaticien,تقني في صيانة التركيبات الآلية
63127.0,Technicien supérieur de maintenance industrielle,تقني في صيانة التجهيزات الصناعية
63126.0,Technicien pneumaticien,تقني في خدمة الهوائيات المضغوطة
63125.0,Technicien hydropneumatique,تقني في المائية الهوائية المضغوطة
63124.0,Technicien électrotechnicien en installation d'exploitation,تقني في الكهروميكانيك في نظام التشغيل
63123.0,Technicien électromécanicien,تقني في الكهروميكانيك
63122.0,Technicien d'installation industrielle,تقني في التركيب الصناعي
63121.0,Technicien d'installation d'équipements industriels,تقني في تركيب المعدات الصناعية
63120.0,Technicien de maintenance industrielle,تقني في صيانة التركيبات الآلية
63119.0,Technicien de maintenance en équipements industriels,تقني في صيانة التجهيزات الصناعية
63118.0,Technicien de maintenance d'équipements de production,تقني في صيانة المعدات الإنتاج
63117.0,Technicien de maintenance d'installations automatisées,تقني في صيانة التجهيزات الآلية
63116.0,Technicien d'installation en automatisme,تقني في التركيب الآلي
63115.0,Technicien automaticien de maintenance,تقني سامي في الصيانة الصناعية
63114.0,Préparateur d'entretien en maintenance industrielle,مدرب صيانة في الصيانة الصناعية
63113.0,Pneumaticien,مختص في تصنيع الهوائيات المضغوطة
63112.0,Mécanicien industriel,ميكانيكي صناعي
63111.0,Mécanicien de maintenance de matériel ferroviaire,ميكانيكي في صيانة عتاد السكك الحديدية
63110.0,Mécanicien d'entretien,ميكانيكي صيانة
63109.0,Instrumentiste en équipements industriels,مختص في التجهيزات الصناعية الألية
63108.0,Hydraulicien industriel de maintenance,هيدروليكي صناعي في الصيانة
63107.0,Hydraulicien industriel d’installation,هيدروليكي صناعي في التركيب
63106.0,Hydraulicien,هيدروليكي
63105.0,Électrotechnicien branche industrie,كهروميكاني في فرع الصناعة
63104.0,Étlectromécanicien industriel,كهروميكاني صناعي
63103.0,Étlectromécanicien d'équipements industriels,كهروميكاني في التجهيزات الصناعية
63102.0,Étlectromécanicien de maintenance industrielle,كهروميكاني في الصيانة الصناعية
63101.0,Étlectromécanicien,كهروميكاني
63006.0,Technicien Service Après Vente-SAVde distributeurs automatiques,تقني خدمات ما بعد البيع الموزعات الآلية
63005.0,Technicien de maintenance de Machines à SousMAS,تقني صيانة الموزعات الآلية للنقود
63004.0,Opérateur d'installation de distributeurs automatiques,عامل تركيب الموزعات الآلية
63003.0,Contrôleur Service Après Vente-SAVde distributeurs automatiques,مراقب خدمات ما بعد البيع للموزعات الآلية
63002.0,Agent de maintenance-SAVde distributeurs automatiques,عون صيانة (خدمات ما بعد البيع) الموزعات الآلية
63001.0,Agent d'approvisionnement de distributeurs automatiques,عون تموين الموزعات الآلية للنقود
62920.0,Technicien supérieur réparateur en travaux d'ascenseurs,تقني سامي في تصليح المصاعد
62919.0,Technicien supérieur de maintenance de travaux d'ascenseurs,تقني سامي في صيانة أشغال المصاعد
62918.0,Technicien de monte-charges,تقني في مصاعد الحمولات
62917.0,Technicien de montage d'ascenseurs,تقني في تركيب المصاعد
62916.0,Technicien de maintenance d'escaliers mécaniques,تقني في صيانة السلالم المتحركة
62915.0,Technicien de maintenance de remontées mécaniques,تقني في صيانة الرافعات المتحركة
62914.0,Technicien de maintenance d'ascenseurs,تقني في صيانة المصاعد
62913.0,Régleur d'ascenseurs,قائم بضبط المصاعد
62912.0,Monteur d'ascenseurs,قائم تركيب المصاعد
62911.0,Mécanicien-électricien dépanneur d'ascenseurs,ميكانيكي كهربائي في إصلاح المصاعد
62910.0,Mécanicien-électricien d'ascenseurs,ميكانيكي كهربائي في المصاعد
62909.0,Contremaitre de montage d'ascenseurs,رئيس فريق تركيب المصاعد
62908.0,Contremaitre de maintenance d'ascenseurs,رئيس فريق صيانة المصاعد
62907.0,Ascensoriste,مكلف بالمصعد
62906.0,Agent d'entretien et de dépannage d'ascenseurs,عون صيانة وتصليح المصاعد
62905.0,Agent d'entretien d'ascenseurs,عون صيانة المصاعد
62904.0,Agent de réparation d'ascenseurs,عون تصليح المصاعد
62903.0,Agent de montage en ascenseurs,عون تركيب المصاعد
62902.0,Agent de maintenance d'ascenseurs,عون صيانة المصاعد
62901.0,Agent de dépannage d'ascenseurs,عون تصليح أعطال المصاعد
62808.0,Ingénieur d'entretien maintenance et travaux neufs en industrie,مهندس في الصيانة والأشغال الجديدة في الصناعة
62807.0,Ingénieur d'entretien en maintenance industrielle,مهندس في الصيانة الصناعية
62806.0,Ingénieur de zone en maintenance industrielle,مهندس منطقة الصيانة الصناعية
62805.0,Ingénieur de maintenance industrielle,مهندس الصيانة الصناعية
62804.0,Ingénieur de maintenance en matériels roulants,مهندس في صيانة العتاد المتنقل
62803.0,Ingénieur de maintenance en matériel de production,مهندس في صيانة معدات الإنتاج
62802.0,Ingénieur de maintenance en instrumentation,مهندس في الصيانة و الضبط و القياس
62801.0,Ingénieur de maintenance en appareillage,مهندس في صيانة الأجهزة
62710.0,Tuyauteur-traceur,مركب – مخطط انابيب
62709.0,Tuyauteur-soudeur,مركب – ملحم انابيب
62708.0,Tuyauteur-monteur,مركب – عامل تجميع انابيب
62707.0,Tuyauteur-cintreur,مركب – مقوس أنابيب
62706.0,Tuyauteur sur acier inox,مركب أنابيب الفولاذ غير القابل للصدأ (INOX) 
62705.0,Tuyauteur industriel,مركب أنابيب صناعية
62704.0,Tuyauteur en matières plastiques,مركب أنابيب البلاستيكية
62703.0,Tuyauteur en haute pression,مركب أنابيب الضغط العالي
62702.0,Tuyauteur en constructions navales,مركب أنابيب في البناء البحري
62701.0,Tuyauteur en basse pression,مركب أنابيب الضغط المنخفض
62602.0,Chef d'équipe en construction métallique,رئيس فريق في البناء المعدني
62601.0,Charpentier industriel en construction métalliques,صانع الهياكل المعدنية الصناعية
62514.0,Soudeur-braseur,لحام-لحام بنظام التلحيم المستمر
62513.0,Soudeur Tungsten Inert Gas-TIG-,لحام بغاز التنغستن الخامل TIG-
62512.0,Soudeur Metal Inert Gas-MIG-,لحام بالغاز المعدني الخامل MIG-
62511.0,Soudeur Metal Active Gas-MAG-,لحام بالغاز المعدني الفعال MAG-
62510.0,Soudeur au chalumeau oxyacétylénique,لحام بمنفاخ أوكساسيتيلين
62509.0,Soudeur à l'électrode enrobée,لحام بالأقطاب المغلفة
62508.0,Soudeur à l'arc semi-automatique,لحام بالقوس شبه الآلي
62507.0,Soudeur à l'arc électrique,لحام بالقوس الكهربائي
62506.0,Soudeur à la flamme,لحام باللهب
62505.0,Soudeur,لحام
62504.0,Opérateur sur machine de soudage,عامل على آلة التلحيم
62503.0,Opérateur soudeur sur machine de rechargement,عامل لحام على آلة الشحن
62502.0,Chef soudeur,لحام أول
62501.0,Braseur,لحام بالتلحيم المستمر
62422.0,Technicien modeleur,تقني صانع النماذج 
62421.0,Remouleur,صانع النماذج
62420.0,Noyauteur mécanique,مركب النواة ميكانيكيا
62419.0,Noyauteur manuel,مركب يدوي لنواة القوالب
62418.0,Noyauteur main sur matériaux non métalliques,مركب يدوي لنواة القوالب غير معدنية
62417.0,Noyauteur en céramique,مركب نواة بالخزف
62416.0,Noyauteur,مركب نواة القوالب
62415.0,Mouleur noyauteur,صانع قوالب تحتوي على نواة
62414.0,Mouleur mécanique,صانع قوالب ميكانيكيا
62413.0,Mouleur manuel,صانع يدوي للقوالب
62412.0,Modeleur sur matériaux non métalliques,صانع نماذج غير المعدنية
62411.0,Modeleur en fonderie,صانع نماذج لصهر المعادن
62410.0,Modeleur bois,صانع النماذج الخشبية
62409.0,Modeleur sur plâtre,صانع النماذج الجبسية
62408.0,Modeleur résine,صانع النماذج الصمغية
62407.0,Modeleur plaquiste,صانع النماذج مركب الصفائح
62406.0,Modeleur mouliste,صانع نماذج القوالب
62405.0,Modeleur matières plastiques,صانع النماذج البلاستيكية
62404.0,Modeleur en céramique,صانع النماذج الخزفية
62403.0,Modeleur,صانع النماذج
62402.0,Maquettiste modeleur,شاحذ القطع
62401.0,Chef d'atelier de modelage,رئيس ورشة صناعة النماذج
62319.0,Technicien poste de commande-PCen production des métaux,تقني مركز التحكم في إنتاج المعادن
62318.0,Technicien de plancher,تقني ارضية الصب
62317.0,Opérateur soufflage en production des métaux,مشغل نفخ في إنتاج المعادن
62316.0,Opérateur polyvalent en production des métaux,مشغل متعدد المهام في إنتاج المعادن
62315.0,Opérateur en production des métaux,مشغل في إنتاج المعادن
62314.0,Opérateur de poste commande -PCen production des métaux,مشغل مركز التحكم في إنتاج المعادن
62313.0,Opérateur de coulée continue,مشغل السبك المستمر
62312.0,Opérateur mélangeur et refroidisseur en production des métaux,مشغل قائم بالمزج والتبريد في إنتاج المعادن
62311.0,Fondeur,عامل في صهر المعادن
62310.0,Dispatcheur de fonte,موزع حديد الزهر
62309.0,Couleur en production des métaux,عامل الصب في إنتاج المعادن
62308.0,Contremaître machine de coulée,رئيس فريق آلة صب المعادن المصهور
62307.0,Contremaître au convertisseur,رئيس فريق في محول صب المعادن
62306.0,Conducteur couleur en production des métaux,قائد  الصب في إنتاج المعادن 
62305.0,Chef fondeur,رئيس فريق صهر المعادن
62304.0,Aide fondeur,مساعد في صهر المعادن
62303.0,Agent de granulation,عامل في تصنيع الحبيبات المعدنية
62302.0,Aciériste versée coulée,عامل في صب الحديد المصهور
62301.0,Aciériste,عامل في تصنيع الفولاذ (الصلب)
62227.0,Responsable central de coupe,رئيس فريق تقطيع المواد
62226.0,Oxycoupeur sur machine à lecture optique de matériaux,عامل تقطيع على آلة القراءة البصرية للمواد
62225.0,Oxycoupeur sur machine à commande numérique –CN,عامل تقطيع بالأكسدة على آلة ذات تحكم رقمي
62224.0,Oxycoupeur automatique,عامل تقطيع بالأكسدة الأوتوماتكية
62223.0,Oxycoupeur,عامل تقطيع بالأكسدة
62222.0,Opérateur sur poinçonneuse,مشغل آلة التخريم
62221.0,Opérateur sur machine de découpage de matériaux,مشغل آلة تقطيع المواد
62220.0,Opérateur sur machine de découpage à commande numérique –CN,مشغل آلة التقطيع ذات التحكم الرقمي
62219.0,Opérateur de planeuse,مشغل آلة التسطيح
62218.0,Opérateur de cintreuse,مشغل آلة التقويس
62217.0,Machiniste sur presse de formage des métaux,مشغل آلة ضغط تشكيل المعادن
62216.0,Machiniste de presse,عامل على آلة الضغط
62215.0,Guillotineur,عامل التقطيع بالمقص
62214.0,Emboutisseur,عامل واضع الأختام المعدنية
62213.0,Coupeur-rompeur en verre plat,عامل تقطيع ونفخ الزجاج المسطح
62212.0,Coupeur de verre plat,عامل تقطيع الزجاج المسطح
62211.0,Coupeur au chalumeau,عامل تقطيع بالشعلة
62210.0,Conducteur de rouleuse cintreuse,مشغل آلة التقويس والتلفيف
62209.0,Conducteur de plieuse,مشغل آلة الطي
62208.0,Conducteur de machine de débitage de matériaux,عامل على آلة قص المواد
62207.0,Conducteur de grignoteuse manuelle,مشغل مقرضة يدوية
62206.0,Conducteur de dressage des métaux,عامل استقامة المعادن
62205.0,Cisailleur de laminoir,عامل تقطيع المصفحة
62204.0,Chef d'équipe machiniste presse,رئيس الفريق العامل على آلة الضغط
62203.0,Chef d'équipe de débitage de matériaux,رئيس فريق تقطيع المواد
62202.0,Agent de débitage de matériaux,عون تقطيع المواد
62201.0,Conducteur de machine de découpage de matériaux,عامل تقطيع المواد
62117.0,Tourneur sur commande numérique-CN,خراط على آلة ذات تحكم رقمي
62116.0,Tourneur,خراط
62115.0,Tailleur en usinage,عامل تقطيع في التصنيع
62114.0,Régleur conducteur polyvalent,عامل ضبط وتشغيل متعدد المهام
62113.0,Rectifieur en usinage,عامل تصحيح في التصنيع
62112.0,Rectifieur d'engrenage,عامل في تصحيح التشابك
62111.0,Rectifieur,عامل تصحيح في التصنيع
62110.0,Perceur sur machine radiale,عامل تثقيب على آلة نصف قطرية
62109.0,Opérateur sur machine d'usinage,مشغل آلة تصنيع
62108.0,Opérateur régleur usinage,مشغل مكلف بالضبط في التصنيع
62107.0,Opérateur de centre d'usinage,مشغل مركز التصنيع
62106.0,Opérateur commande numérique-CN,مشغل آلة ذات تحكم رقمي
62105.0,Fraiseur sur commande numérique-CN,عامل تفريز على آلة ذات تحكم رقمي
62104.0,Fraiseur,عامل تفريز
62103.0,Etinceleur en électroérosion,مشعل الشرارة بالتآكل الكهربائي
62102.0,Aléseur,عامل تخريط
62101.0,Affûteur,عامل شحذ في التصنيع
62008.0,Opérateur sur machine automatisée de production mécanique,عامل على آلة أوتوماتيكية للإنتاج الميكانيكي
62007.0,Opérateur sur machine automatisée de montage-assemblage mécanique,عامل على آلة أوتوماتيكية للتركيب والتجميع الميكانيكي
62006.0,Opérateur montage mécanique,عامل التركيب الميكانيكي
62005.0,Opérateur d'assemblage mécanique,عامل في تجميع وتركيب القطع الميكانيكية
62004.0,Monteur sur chaîne d'assemblage mécanique,مركب على سلسلة التجميع الميكانيكي
62003.0,Monteur en lunetterie,فني تركيب المنظار
62002.0,Monteur de pièces mécaniques,مركب القطع الميكانيكية
62001.0,Assembleur monteur en pièces mécaniques,عامل التجميع الميكانيكي
61910.0,Outilleur-mouliste,عامل تصنيع قوالب القطع الميكانيكية – قوالب السباكة
61909.0,Monteur régleur de systèmes mécaniques,عامل تركيب ضبط الأنظمة الميكانيكية
61908.0,Monteur ajusteur de fabrication,عامل تركيب تعديل في التصنيع
61907.0,Mécanicien-ajusteur de fabrication,ميكانيكي التعديل في التصنيع
61906.0,Mécanicien de précision en fabrication,ميكانيكي التدقيق في التصنيع
61905.0,Mécanicien mouliste de fabrication,ميكانيكي في قوالب السباكة في التصنيع
61904.0,Ajusteur-outilleur sur moule métallique,عامل تعديل-تصنيع قوالب القطع الميكانيكية على قوالب معدنية
61903.0,Ajusteur-outilleur de fabrication,عامل تركيب تعديل في التصنيع
61902.0,Ajusteur de systèmes mécaniques,عامل تعديل الأنظمة الميكانيكية
61901.0,Ajusteur de fabrication,عامل تعديل في التصنيع
61814.0,Rectificateur de composants électroniques,مقوم المكونات الإلكترونية
61813.0,Opérateur sur machine semi-automatique en production électronique,مشغل على آلة إنتاج شبه الإلكترونية
61812.0,Opérateur de sous – ensembles électriques,مشغل الأجزاء الكهربائية الفرعية
61811.0,Opérateur de fabrication de matériels électriques et électroniques,مشغل تصنيع المعدات الكهربائية والإلكترونية
61810.0,Opérateur de fabrication de matériels électriques,مشغل تصنيع المعدات الكهربائية
61809.0,Agent d'insertion semi-automatique de composants électroniques,عون الإدماج شبه -أوتوماتيكي للمكونات الإلكترونية
61808.0,Agent d'insertion manuelle de composants électroniques,عون الإدماج اليدوي للمكونات الإلكترونية
61807.0,Agent d'insertion automatique de composants électroniques,عون الإدماج الأوتوماتيكي للمكونات الإلكترونية
61806.0,Agent de production de matériels électriques,عون إنتاج المعدات الكهربائية
61805.0,Agent de montage et d'insertion de matériels électroniques,عون تركيب وإدماج المعدات الإلكترونية
61804.0,Agent de montage de matériels électroniques,عون تركيب المعدات الالكترونية
61803.0,Agent de montage de matériels électriques,عامل تركيب المعدات الكهربائية
61802.0,Agent d'assemblage de matériels électroniques,عامل تركيب المعدات الإلكترونية
61801.0,Agent de préparation matières de matériels électroniques,عامل تحضير مواد المعدات الإلكترونية
61709.0,Opérateur-soudeur à la vague,لحام على آلة تلحيم مموجة
61708.0,Opérateur sur machines d'insertion de composants électroniques,عامل على آلة إدماج المكونات الإلكترونية
61707.0,Opérateur sur machines automatisées en production électronique,مشغل خط أوتوماتيكي للإنتاج الإلكتروني
61706.0,Opérateur sur machines automatisées en production électrique,مشغل خط أوتوماتيكي للإنتاج الكهربائي
61705.0,Opérateur sur machine à bobiner en électricité,عامل على آلة تلفيف كهربائي
61704.0,Opérateur de ligne en électronique,مشغل خط إلكتروني
61703.0,Conducteur de machines à vagues,عامل على آلة تشغيل ماكينات التموُّج
61702.0,Conducteur de ligne automatisée en production électronique,عامل على آلة أوتوماتيكية في الإنتاج الإلكتروني
61701.0,Conducteur de ligne automatisée en production électrique,عامل على آلة أوتوماتيكية في الإنتاج الكهربائي
61609.0,Monteur-câbleur de matériels électriques,مكلف بالتركيب والتوصيل الكهربائي على المعدات الكهربائية
61608.0,Monteur-câbleur d'armoires électriques,مكلف بالتركيب والتوصيل الكهربائي على الخزانات
61607.0,Monteur de transformateurs,مركب المحولات
61606.0,"Monteur –câbleur de ligne moyenne tension-MT /basse tension BT, haute tension-HT/très haute tension-THT",مكلف بالتركيب والتوصيل الكهربائي على خطوط الضغط المتوسط، الضغط المنخفض، الضغط العالي، الضغط العالي جدا
61605.0,Électromécanicien de régulation,كهروميكانيكي الضبط
61604.0,Électricien d'équipements industriels,كهربائي التجهيزات الصناعية
61603.0,Câbleur en haute tension,مكلف بالتوصيل الكهربائي على خطوط الضغط العالي
61602.0,Câbleur de matériels électriques,مكلف بالتوصيل الكهربائي على المعدات الكهربائية
61601.0,Câbleur d'armoires électriques,مكلف بالتوصيل الكهربائي على الخزانات
61508.0,Technicien électro-bobinage,تقني كهرو تلفيف
61507.0,Technicien d'atelier de bobinage en électricité,تقني ورشة تلفيف كهربائي
61506.0,Technicien bobineur,تقني مختص في التلفيف
61505.0,Rebobineur en électricité,عامل مكلف بإعادة التلفيف في الكهرباء
61504.0,Bobinier électromécanicien,عامل مكلف بالتلفيف كهروميكانيكي
61503.0,Bobineur en électricité,عامل مكلف بالتلفيف في الكهرباء
61502.0,Bobineur de maintenance,عامل مكلف بالتلفيف في الصيانة
61501.0,Bobineur,عامل مكلف بالتلفيف
61417.0,Technicien qualité produit électricité-électronique,تقني جودة المنتج في الكهرباء والإلكترونيات
61416.0,Technicien d'essais en électricité,تقني اختبارات في الكهرباء
61415.0,Technicien de maintenance et contrôle-tests de cartes électroniques,تقني صيانة واختبارات للوحات الإلكترونية
61414.0,Technicien de contrôle fabrication électronique,تقني مراقبة تصنيع الإلكترونيات
61413.0,Technicien de contrôle et de tests en électricité,تقني مراقبة واختبارات في الكهرباء
61412.0,Technicien contrôle qualité électricité-électronique,تقني مراقبة جودة الكهرباء والإلكترونيات
61411.0,Technicien contrôle final électricité-électronique,تقني مراقبة نهائية في الكهرباء والإلكترونيات
61410.0,Technicien de contrôle en électrotechnique,تقني مراقبة في الهندسة الكهربائية
61409.0,Technicien de contrôle en électronique,تقني مراقبة في الإلكترونيات
61408.0,Opérateur étalonnage électricité-électronique,عامل معايرة الكهرباء والإلكترونيات
61407.0,Contrôleur qualité en électronique,مراقب جودة في الإلكترونيات
61406.0,Contrôleur qualité en électricité,مراقب جودة في الكهرباء
61405.0,Contrôleur en électronique,مراقب في الإلكترونيات
61404.0,Contrôleur électronicien,مراقب إلكتروني
61403.0,Contrôleur électricien,مراقب كهربائي
61402.0,Contrôleur qualité électricité-électronique,مراقب جودة الكهرباء والإلكترونيات
61401.0,Agent de test et contrôle électricité-électronique,عامل اختبار ومراقبة الكهرباء والإلكترونيات
61317.0,Technicien polyvalent en mécanique et travail des métaux,تقني متعدد المهام في الميكانيك
61316.0,Technicien laboratoire en métallurgie,تقني مخبر في التعدين
61315.0,Technicien essai mécanique,تقني المراقبة في الميكانيك وتشغيل المعادن
61314.0,Technicien d'analyse et d'essais métallurgiques,تقني تحليل و تجارب التعدين
61313.0,Technicien contrôle en métallurgie,تقني المراقبة في التعدين
61312.0,Technicien contrôle en laboratoire de métallurgie,تقني المراقبة في مخبر التعدين
61311.0,Préparateur contrôle métallurgie,محضر مراقبة التعدين
61310.0,Opérateur spectromètre en métallurgie,عامل في المقياس الطيفي في التعدين
61309.0,Laborantin d'essai et contrôle en métallurgie,مخبري التجارب و المراقبة في التعدين
61308.0,Échantillonneur en mécanique et travail des métaux,مكلف بالعينات في الميكانيك وتشغيل المعادن
61307.0,Contrôleur qualité polyvalent en mécanique et travail des métaux,مراقب نوعية متعدد المهام في الميكانيك وتشغيل المعادن
61306.0,Contrôleur marqueur en mécanique et travail des métaux,مراقب مسجّل العلامات في الميكانيك وتشغيل المعادن
61305.0,Chargé de contrôle en métallurgie,مكلف بالمراقبة في التعدين
61304.0,Agent d'essai contrôle mécanique,عون تجارب المراقبة الميكانيكية
61303.0,Agent de laboratoire en contrôle métallurgie,عون مخبر في مراقبة التعدين
61302.0,Agent de contrôle non destructif en mécanique et travail des métaux,عون المراقبة الغير تدميرية في الميكانيك وتشغيل المعادن
61301.0,Agent de contrôle destructif en mécanique et travail des métaux,عون مراقبة تدميرية في الميكانيك وتشغيل المعادن
61225.0,Technicien laboratoire en matériaux de construction,تقني مختبر في مواد البناء
61224.0,Technicien de laboratoire d'analyse industrielle,تقني مختبر تحليل صناعي
61223.0,Technicien de contrôle en métallurgie/sidérurgie,تقني مراقبة في الميتالورجيا / الحديد والصلب
61222.0,Technicien de contrôle en industrie pharmaceutique,تقني مراقبة في صناعة الأدوية
61221.0,Technicien de contrôle en industrie chimique,تقني مراقبة في صناعة الكيمياء
61220.0,Technicien de contrôle en industrie alimentaire,تقني مراقبة في صناعة الأغذية
61219.0,Technicien de contrôle en énergie/pétrochimie,تقني مراقبة في مجال الطاقة / البتروكيماويات
61218.0,Technicien d'analyse industrielle,تقني تحليل صناعي
61217.0,Technicien d'analyse en industrie alimentaire,تقني تحليل في صناعة الأغذية
61216.0,Technicien d'analyse des eaux,تقني تحليل المياه
61215.0,Technicien d'analyse de la qualité de l'eau,تقني تحليل جودة المياه
61214.0,Technicien chimiste de contrôle en industrie,تقني كيميائي لمراقبة الصناعة
61213.0,Technicien chimiste d'analyse industrielle,تقني كيميائي لتحليل الصناعة
61212.0,Technicien chimie environnement en industrie,تقني في الكيمياء البيئية في الصناعة
61211.0,Préleveur d'eau,عون مكلف بأخذ عينات الماء
61210.0,Préleveur d'analyse industrielle,عون مكلف بأخذ العينات للتحليل الصناعي
61209.0,Laborantin de contrôle en industrie,مساعد مخبري في المراقبة الصناعية
61208.0,Laborantin d'analyse industrielle,مساعد مخبري في التحليل الصناعي
61207.0,Formulateur en arômes,محضر تركيبة النكهات
61206.0,Chimiste d'analyse industrielle,مختص الكيمياء في التحليل الصناعي
61205.0,Chimiste de contrôle en industrie,مختص الكيمياء في المراقبة الصناعية
61204.0,Biologiste en analyse pharmaceutique,مختص بيولوجي في التحليل الصيدلاني
61203.0,Biologiste en contrôle industriel,مختص بيولوجي في المراقبة الصناعية
61202.0,Biologiste en analyse industrielle,مختص بيولوجي في التحليل الصناعي
61201.0,Analyste sensoriel,محلل تحسيسي
61113.0,Ingénieur qualité en industrie,مهندس مراقبة النوعية في الصناعة
61112.0,Ingénieur métallurgiste en qualité industrielle,مهندس معدني في النوعية الصناعية
61111.0,Ingénieur métallographie en qualité industrielle,مهندس مختص في التركيب المعدني في النوعية الصناعية
61110.0,Ingénieur mécanicien en qualité industrielle,مهندس ميكانيكي في النوعية الصناعية
61109.0,Ingénieur d'essai en qualité industrielle,مهندس التجارب في النوعية الصناعية
61108.0,Ingénieur contrôle réception en industrie,مهندس مراقبة الاستلام في الصناعة
61107.0,Ingénieur contrôle qualité en industrie pharmaceutique,مهندس مراقبة النوعية في الصناعية الصيدلانية
61106.0,Ingénieur contrôle qualité en industrie,مهندس مراقبة النوعية الصناعية
61105.0,Ingénieur chimiste en qualité industrielle,مهندس كيميائي في النوعية الصناعية
61104.0,Ingénieur assurance qualité en industrie,مهندس تأمين النوعية الصناعية
61103.0,Coordinateur qualité environnement en industrie,منسق عام في نوعية البيئة الصناعية
61102.0,Coordinateur qualité en industrie,منسق النوعية الصناعية
61101.0,Auditeur qualité en industrie,مدقق نوعية في الصناعة
61003.0,Technicien planification de production industrielle,تقني في تخطيط الإنتاج الصناعي
61002.0,Technicien ordonnancement-lancement production,تقني مصلحة تنظيم وإدارة انطلاق الإنتاج
61001.0,Technicien en gestion de production industrielle,تقني في تسيير الانتاج الصناعي
60903.0,Technicien méthodes en industrie,تقني في طرق الإنتاج في الصناعة
60902.0,Responsable méthodes en industrie,رئيس مصلحة طرق الإنتاج الصناعي
60901.0,Ingénieur méthodes en industrie,مهندس طرق الإنتاج في الصناعة
60804.0,Inspecteur des appareils sous pression (APVG),مفتش الأجهزة تحت الضغط (APVG)
60803.0,Inspecteur des appareils électriques (APE),مفتش الأجهزة الكهربائية (APE)
60802.0,Inspecteur des appareils de levage et de manutention (APL),مفتش أجهزة الرفع والشحن والتفريغ (APL)
60801.0,Inspecteur de contrôle non destructif -CND,مفتش المراقبة غير التدميرية CND
60705.0,"Superviseur hygiène, sécurité et environnement en industrie",مدير النظافة، السلامة والبيئة في الصناعة
60704.0,"Préventeur hygiène, sécurité et environnement en industrie",مكلف بالوقاية في النظافة، السلامة والبيئة في الصناعة
60703.0,"Ingénieur hygiène, sécurité et environnement en industrie",مهندس النظافة، السلامة والبيئة في الصناعة
60702.0,"Coordinateur hygiène, sécurité et environnement en industrie",منسق النظافة، السلامة والبيئة في الصناعة
60701.0,"Animateur hygiène, sécurité et environnement en industrie",منشط النظافة، السلامة والبيئة في الصناعة
60604.0,Designer textiles,مصمم المواد النسيجية
60603.0,Designer packaging,مصمم الأغلفة وعلب التعبئة
60602.0,Designer mobilier,مصمم أثاث
60601.0,Designer produit,مصمم منتوجات
60516.0,Maquettiste en conception industrielle,مصمم مجسمات في التصميم الصناعي
60515.0,Dessinateur-projeteur en tuyauterie industrielle,رسام الاسقاط في الأنابيب الصناعية
60514.0,Dessinateur-projeteur en construction métallique,رسام الاسقاط في البناءات المعدنية
60513.0,Dessinateur-projeteur en construction mécanique,رسام الاسقاط في البناءات الميكانيكية
60512.0,Dessinateur petites études en mécanique,رسام دراسات صغيرة في الميكانيك
60511.0,Dessinateur en tuyauterie industrielle,رسام أنابيب صناعية
60510.0,Dessinateur en outillage,رسام أدوات
60509.0,Dessinateur en construction mécanique,رسام في البناءات الميكانيكية
60508.0,Dessinateur en chaudronnerie,رسام في الصناعة المعدنية
60507.0,Dessinateur en charpente métallique,رسام في الهياكل المعدنية
60506.0,Dessinateur d'exécution en mécanique,رسام تنفيذي في الميكانيك
60505.0,Dessinateur d'exécution en construction mécanique,رسام تنفيذي في البناءات الميكانيكية
60504.0,Dessinateur d'études en mécanique,رسام الدراسات في الميكانيك
60503.0,Dessinateur d'études en construction mécanique,رسام دراسات في البناءات الميكانيكية
60502.0,Concepteur de produits industriels mécaniques,مصمم منتجات صناعية ميكانيكية
60501.0,Calculateur études en mécanique,مكلف بالحسابات الدراسات في الميكانيك
60410.0,Technicien supérieur études en électronique,تقني سامي في الدراسات الإلكترونية
60409.0,Technicien supérieur études en électricité,تقني سامي في الدراسات الكهربائية
60408.0,Responsable de bureau d'études techniques électriques et électroniques,مسؤول مكتب دراسات تقنية كهربائية في الإلكترونيك
60407.0,Ingénieur technique électrique et électronique,مهندس تقني كهربائي وإلكتروني
60406.0,Ingénieur projet d'études électrique et électronique,مهندس مشروع دراسة كهربائية وإلكترونية
60405.0,Dessinateur d'exécution en électricité,رسام تنفيذي في الكهرباء
60404.0,Dessinateur d'études en électricité,رسام دراسات كهربائية
60403.0,Dessinateur de schémas électriques,رسام مخططات كهربائية
60402.0,Concepteurréalisateur de produits électriques,مصمم – منجز منتجات كهربائية
60401.0,Chef de projet de produits électriques et électroniques,رئيس مشروع منتجات كهربائية وإلكترونية
60322.0,Technicien galéniste,تقني في صناعة الصيغ الصيدلانية للأدوية
