code_activity,name_activity,ar_name_activity
71513.0,Opérateur image,مشغل الصورة
71512.0,Opérateur de plateau,مشغل البلاطو
71511.0,Ingénieur de la vision,مهندس التصوير الرقمي
71510.0,Directeur de la photo,مدير التصوير
71509.0,Deuxième assistant operateur,مساعد ثاني مشغل
71508.0,Chef opérateur vidéo,رئيس مشغل الفيديو
71507.0,Chef opérateur d'image,رئيس مشغل الصورة
71506.0,Chef opérateur de prise de vue,رئيس مشغل التقاط الصور
71505.0,Cameraman,مصور بالكاميرا
71504.0,Cadreur,مؤطر الصورة
71503.0,Assistant opérateur sur louma,مساعد مشغل كاميرا على ذراع
71502.0,Assistant cameraman,مساعد مصور بالكاميرا
71501.0,Assistant cadreur,مساعد مؤطر الصورة
71420.0,Technicien lumière,تقني الاضاءة
71419.0,Pupitreur spectacle,مكلف بوحدة التحكم العرض
71418.0,Pupitreur image,مكلف بوحدة التحكم في الصورة
71417.0,Pupitre man,مشغل اللوحة التقنية
71416.0,Poursuiteur,متقفي اضاءة
71415.0,Opérateur poursuite,مشغل إضاءة متقفي
71414.0,Opérateur lumière,مشغل اضاءة
71413.0,Groupiste,مكلف بالمولدات الكهربائية للعروض
71412.0,Electricien plateau,كهربائي المرحلة
71411.0,Electricien jeu d'orgues,كهربائي البلاطو
71410.0,Electricien éclairagiste spectacle,كهربائي وحدة تحكم الإضاءة
71409.0,Electricien spectacle,كهربائي مكلف بإضاءة العرض
71408.0,Eclairagiste,تقني اضاءة
71407.0,Créateur lumière,مصمم الإضاءة
71406.0,Concepteur lumière,منفذ الإضاءة
71405.0,Chef section eclairagiste,رئيس قسم الإضاءة
71404.0,Chef opérateur lumière,رئيس مشغل الإضاءة
71403.0,Chef électricien spectacle,رئيس كهربائي العرض
71402.0,Chef éclairagiste,رئيس الإضاءة
71401.0,Assistant lumière,مساعد الإضاءة
71309.0,Régisseur technique général,ريجيسور تقني عام
71308.0,Régisseur technique,ريجيسور تقني
71307.0,Régisseur lumière,ريجيسور الإضاءة
71306.0,Régisseur général,ريجيسور عام
71305.0,Régisseur de tournée,ريجيسور الجولات
71304.0,Régisseur de son,ريجيسور الصوت
71303.0,Régisseur de plateau,ريجيسور استوديو
71302.0,Régisseur artistique,ريجيسور فني
71301.0,Assistant de régie,ريجيسور 
71216.0,Tapissier décorateur spectacle,مصمم ديكور السجاد للعروض
71215.0,Scénographe spectacle,مصمم المشهد للعروض
71214.0,Peintre en décor spectacle,رسام ديكور العرض
71213.0,Menuisier en décor spectacle,نجار ديكور العرض
71212.0,Ensemblier de décor spectacle,منسق الديكور للعروض
71211.0,Décorateur spectacle,مصمم ديكور العرض
71210.0,Décorateur spécialisé spectacle,مصمم ديكور مختص في العروض
71209.0,Constructeur en décor,مُنشئ في الديكور
71208.0,Chef magasin accessoires,رئيس مخزن الإكسسوارات
71207.0,Chef décorateur spectacle,رئيس مصمم ديكور العرض
71206.0,Chef décorateur spécialisé spectacle,رئيس مصمم ديكور مختص في العروض
71205.0,Chef atelier de construction des décors,رئيس ورشة إنشاء الديكور
71204.0,Chef atelier accessoires,رئيس ورشة الإكسسوارات
71203.0,Assistant décorateur spectacle,مساعد مصمم ديكور العرض
71202.0,Architecte en décors spectacle,مهندس ديكور مسرحي
71201.0,Accessoiriste,مسؤول الاكسسوارات
71112.0,Repasseur retoucheur de spectacle,كواء ومنمق ازياء العرض
71111.0,Piqueuse de spectacle,عاملة تضريب أزياء العرض
71110.0,Lingère de spectacle,مصمم ملابس داخلية الخاصة بالعرض
71109.0,Habilleur,مكلف بالإلباس في العرض
71108.0,Créateur de costumes,مصمم أزياء العرض
71107.0,Couturier spectacle,خياط أزياء العرض
71106.0,Costumier-habilleur,مصمم وملبس أزياء العرض
71105.0,Costumier,مصمم أزياء 
71104.0,Chef magasin des costumes,رئيس مخزن الأزياء
71103.0,Chef costumier,رئيس ازياء العرض
71102.0,Chef atelier couture spectacle,رئيس ورشة خياطة العرض
71101.0,Chef atelier costumes,رئيس ورشة أزياء العرض
71008.0,Maquilleur spectacle,واضع ماكياج في العروض
71007.0,Coiffeur-posticheur spectacle,حلاق وواضع الشعر المزيف في العروض
71006.0,Coiffeur-perruquier spectacle,حلاق وواضع الشعر المستعار في العروض
71005.0,Coiffeur spectacle,حلاق العروض
71004.0,Chef maquilleur spectacle,واضع ماكياج رئيسي في العروض
71003.0,Chef coiffeur spectacle,حلاق رئيسي في العروض
71002.0,Assistant maquilleur spectacle,مساعد واضع ماكياج العروض
71001.0,Assistant coiffeur spectacle,مساعد حلاق العروض
70910.0,Présentateur TV,مقدم تلفزيوني
70909.0,Présentateur radio,مقدم إذاعي
70908.0,Présentateur de spectacle,مقدم العروض
70907.0,Chroniqueur TV / Radio,مقدم فقرات تلفزيونية / اذاعية
70906.0,Chauffeur de salle,منشط الجمهور في قاعة
70905.0,Annonceur speaker radio,مذيع معلق
70904.0,Annonceur radio,مذيع راديو
70903.0,Animateur TV,منشط تلفزيوني
70902.0,Animateur radio,منشط اذاعي
70901.0,Animateur de spectacle,منشط العروض
70805.0,Mannequin publicité, عارض ازياء إعلانات
70804.0,Mannequin podium, عارض ازياء منصة
70803.0,Mannequin photo, عارض ازياء تصوير
70802.0,Mannequin haute couture, عارض أزياء خياطة راقية
70801.0,Mannequin,عارض ازياء
70713.0,Personnage,متقمص شخصية
70712.0,Pantomime,ممثل ايمائي
70711.0,Mime,ممثل صامت
70710.0,Marionnettiste,محرك دمى
70709.0,Imitateur,مقلد
70708.0,Humoriste,ممثل مازح 
70707.0,Doublure,ممثل بديل
70706.0,Conteur,حكواتي
70705.0,Comique,ممثل هزلي
70704.0,Comédien,ممثل كوميدي
70703.0,Clown,مهرج
70702.0,Acteur principal,ممثل رئيسي
70701.0,Acteur,ممثل
70646.0,Xylophoniste,عازف إكسيليفوني
70645.0,Violoniste,عازف الزيلوفون
70644.0,Violoncelliste,عازف الكمان
70643.0,Tubiste / Contre tubiste,عازف الطوبا / عازف الطوبا الكبير
70642.0,Trompettiste,عازف البوق
70641.0,Tromboniste,عازف الترومبون
70640.0,Timbalier,عازف التمبال
70639.0,Saxophoniste,عازف الساكسفون
70638.0,Régisseur d'orchestre,ريجيسير الأوركسترا
70637.0,Régisseur chœurs,ريجيسير الجوق
70636.0,Pianiste,عازف البيانو
70635.0,Percussionniste,عازف الإيقاع
70634.0,Organiste,عازف الأرغن
70633.0,Orchestrateur,موزع الموسيقى
70632.0,Musicien-accompagnateur,موسيقار منوعات
70631.0,Musicien soliste,موسيقار مرافق
70630.0,Musicien d'orchestre,موسيقار أوركسترا
70629.0,Musicien de variétés,موسيقار منوعات
70628.0,Musicien,موسيقار
70627.0,Joueur d'instrument ethnique ou traditionnel,عازف على الآلة العرقية أو التقليدية
70626.0,Joueur de synthétiseur,عازف الة المزج
70625.0,Instrumentiste,عازف الاتي 
70624.0,Hautboïste,عازف الة المزمار 
70623.0,Harpiste,عازف الجينك
70622.0,Harmoniciste,عازف الهارمونيكا
70621.0,Guitariste,عازف الجيتار
70620.0,Flûtiste,عازف الناي
70619.0,Directeur des chœurs,مدير الجوق
70618.0,Directeur artistique musique,مدير فني للموسيقى
70617.0,Corniste,عازف الة القرن
70616.0,Contrebassiste,عازف الكمان الكبير
70615.0,Contre bassoniste,عازف الباصون الكبير
70614.0,Claveciniste,عازف الة وترية
70613.0,Clarinettiste,عازف الكلارينيت
70612.0,Choriste,مغني جوق
70611.0,Chef d'orchestre,قائد الأوركسترا
70610.0,Chef de chœur,قائد الجوق
70609.0,Chanteur,مغني
70608.0,Batteur,عازف الإيقاع
70607.0,Bassoniste,عازف الباصون
70606.0,Bassiste,عازف الباص
70605.0,Auteur-interprète,كاتب ومؤدي
70604.0,Auteur-compositeur,كاتب وملحن
70603.0,Arrangeur musical,ملحن الإيقاعات الموسيقية
70602.0,Altiste,عازف كمان جهير/ التشيلو
70601.0,Accordéoniste,عازف الأكورديون
70508.0,Music manager,مدير أعمال موسيقي
70507.0,Manager d'artiste,مدير أعمال الفنان
70506.0,Directeur de casting,وكيل انتقاء الفنانين (كاستينغ)
70505.0,Agent littéraire,وكيل أدبي
70504.0,Agent de sportif,وكيل رياضي
70503.0,Agent de mannequin,وكيل عارضة أزياء
70502.0,Agent d'artiste,وكيل فنان
70501.0,Agent artistique,وكيل فني
70421.0,Script télévision,سكريبت تلفزيون
70420.0,Script cinéma,سكريبت سينيمائي
70419.0,Script,سكريبت 
70418.0,Réalisateur télévision,مخرج تلفزيوني
70417.0,Réalisateur radio,مخرج راديو
70416.0,Réalisateur principal radio,مخرج راديو رئيسي
70415.0,Réalisateur secondaire de radio,مخرج إذاعي ثانوي
70414.0,Réalisateur d'émission de radio,مخرج برنامج إذاعي
70413.0,Réalisateur de vidéoclip,مخرج فيديو كليب
70412.0,Réalisateur de téléfilm,مخرج فيلم تلفزيوني
70411.0,Réalisateur de plateau,مخرج البلاتو
70410.0,Réalisateur de long métrage,مخرج أفلام طويلة
70409.0,Réalisateur de documentaire,مخرج أفلام وثائقية
70408.0,Réalisateur de court métrage,مخرج أفلام قصيرة
70407.0,Réalisateur cinéma,مخرج سينمائي
70406.0,Réalisateur audiovisuel,مخرج سمعي بصري
70405.0,Réalisateur,مخرج
70404.0,Premier assistant réalisateur,مساعد مخرج أول
70403.0,Deuxième assistant réalisateur,مساعد مخرج ثاني
70402.0,Assistant réalisateur radio,مساعد مخرج إذاعي
70401.0,Assistant réalisateur,مساعد مخرج
70304.0,Metteur en scène théâtre,مخرج عروض مسرحية
70303.0,Metteur en scène,مخرج عروض
70302.0,Co-metteur en scène,مخرج مشارك في العرض
70301.0,Assistant metteur en scène,مساعد مخرج العروض
70235.0,Technicien de production audiovisuelle,تقني الإنتاج السمعي البصري
70234.0,Superviseur de production audiovisuelle,مشرف الإنتاج السمعي البصري
70233.0,Secrétaire de production cinéma,سكرتير إنتاج سينمائي
70232.0,Responsable de la programmation de spectacle,مسؤول برمجة العروض
70231.0,Responsable de la programmation audiovisuelle,مسؤول البرمجة السمعية البصرية
70230.0,Programmateur radio,مبرمج اذاعي
70229.0,Programmateur de spectacle,مبرمج عروض
70228.0,Producteur télévision,منتج تلفزيوني
70227.0,Producteur radio,منتج إذاعي
70226.0,Producteur exécutif,منتج منفذ 
70225.0,Producteur délégué / assistant ,منتج مفوض/ مساعد 
70224.0,Producteur de spectacle,منتج العروض
70223.0,Producteur de musique,منتج الموسيقى
70222.0,Producteur cinéma,منتج سينمائي
70221.0,Gestionnaire de programmation audiovisuelle,مسير برمجة سمعية بصرية
70220.0,Directeur technique et artistique audiovisuel,مدير تقني سمعي بصري
70219.0,Chargé de la gestion musical,مكلف بالإدارة الموسيقية
70218.0,Chargé de la gestion du théâtre,مكلف بإدارة مسرح
70217.0,Chargé de production de spectacle,مكلف إنتاج العروض
70216.0,Chargé de production cinématographique,مكلف الإنتاج السينمائي
70215.0,Chargé de production audiovisuelle,مكلف بالإنتاج السمعي البصري
70214.0,Chargé des spectacles de la musique,مكلف بالعروض الموسيقية
70213.0,Chargé des spectacles de la danse,مكلف بالعروض الراقص
70212.0,Chargé de ballet,مكلف بالباليه
70211.0,Chargé d'antenne télévision,مكلف بالبث التلفزيوني
70210.0,Chargé d'antenne radio,مكلف بالبث الإذاعي
70209.0,Chargé artistique spectacle,مكلف فني بالعرض
70208.0,Conseiller de programme audiovisuel,مستشار البرامج السمعية والبصرية
70207.0,Assistant de production spectacle,مساعد إنتاج ا لعرض
70206.0,Assistant de production audiovisuelle,مساعد إنتاج سمعي بصري
70205.0,Chargé d'orchestre,مدير الأوركسترا
70204.0,Chargé de gestion de théâtre,مكلف بإدارة المسرح
70203.0,Chargé administrateur de production de spectacle,مكلف اداري بإنتاج ا لعروض
70202.0,Chargé administrateur de production cinéma,مكلف اداري بالإنتاج السينمائي
70201.0,Chargé administrateur de production audiovisuelle,مكلف اداري بالإنتاج السمعي البصري
70121.0,Scénariste,كاتب سيناريو
70120.0,Romancier,كاتب روائي
70119.0,Poète,شاعر
70118.0,Parolier,كاتب كلمات الأغاني
70117.0,Ecrivain,كاتب
70116.0,Directeur d'écriture de scénarios,مدير كتابة السيناريو
70115.0,Compositeur,ملحن
70114.0,Biographe littéraire,كاتب سيرة أدبية
70113.0,Biographe,كاتب سير الشخصيات
70112.0,Auteur-adaptateur,مؤلف مقتبس
70111.0,Auteur littéraire,مؤلف أعمال أدبية
70110.0,Auteur humoriste,مؤلف قصص هزلية
70109.0,Auteur écrivain multimédia,مؤلف كاتب متعدد الوسائط الإعلامية
70108.0,Auteur écrivain,كاتب أدبي
70107.0,Auteur dramatique,مؤلف درامي
70106.0,Auteur d'œuvre musicale avec ou sans paroles,مؤلف كلمات أو أعمال موسيقية
70105.0,Auteur d'oeuvre littéraire radiodiffusée,مؤلف الأعمال الأدبية للبث الإذاعي
70104.0,Auteur d'œuvre dramatique,مؤلف أعمال درامية
70103.0,Auteur d'œuvre dramaticomusicale,مؤلف أعمال الدراما الموسيقية
70102.0,Auteur Compositeur,مؤلف – ملحن
70101.0,Adaptateur-traducteur,مقتبس-مترجم
63707.0,Assistant service relations sociales,مساعد مصلحة العلاقات الاجتماعية
63706.0,Assistant ressources humaines,مساعد في الموارد البشرية
63705.0,Assistant du service gestion du personnel,مساعد في مصلحة تسيير المستخدمين
63704.0,Assistant de gestion en ressources humaines,مساعد في تسيير الموارد البشرية
63703.0,Assistant de gestion administrative du personnel,مساعد في التسيير الاداري للمستخدمين
63702.0,Assistant carrières et paie,مساعد في تسيير المسارات المهنية والأجور
63701.0,Assistant en gestion du personnel,مساعد في تسيير المستخدمين
63610.0,Technicien supérieur électromécanicien,تقني سامي في الكهروميكانيكا
63609.0,Technicien de maintenance électrique,تقني في الصيانة الكهربائية
63608.0,Responsable maintenance dépannage en électricité industrielle,مسؤول الصيانة وتصليح الاعطال في الكهرباء الصناعية
63607.0,Electrotechnicien de maintenance,كهروميكانيكي في الصيانة
63606.0,Electromécanicien d'entretien d'installations électriques,كهروميكانيكي في صيانة المنشآت الكهربائية
63605.0,Electromécanicien de signalisation basse et moyenne tension,كهروميكانيكي في إشارة الضغط المنخفض والمتوسط
63604.0,Electromécanicien de maintenance d'installations électriques,كهروميكانيكي في صيانة التركيبات الكهربائية
63603.0,Electricien de maintenance en équipements industriels,كهربائي في صيانة التجهيزات الصناعية
63602.0,Electricien de maintenance de centrales hydrauliques,كهربائي في صيانة المحطات الهيدروليكية
63601.0,Dépanneur électricien d'équipements industriels,مصلح كهربائي للتجهيزات الصناعية
63510.0,Thermicien de maintenance,مختص صيانة في الطاقة الحرارية
63509.0,Technicien thermicien de maintenance,مختص صيانة في الطاقة الحرارية
63508.0,Technicien de maintenance en chauffage,تقني صيانة في التدفئة
63507.0,Technicien d'exploitation de réseaux de chauffage,تقني استغلال في شبكات التدفئة
63506.0,Technicien d'entretien et d'exploitation de chauffage,تقني صيانة واستغلال في التدفئة
63505.0,Monteur-réparateur de chaudières,مركب-مصلح المسخنات الصناعية
63504.0,Monteur de chaudières industrielles,مركب المسخنات الصناعية
63503.0,Instrumentiste chauffagiste,مختص في التدفئة
63502.0,Electromécanicien de chauffage,كهروميكانيكي في التدفئة
63501.0,Agent technique de maintenance en chauffage,عوني تقني مكلف بالصيانة في مجال التدفئة
63430.0,Technicien réseaux et télécommunication d'entreprise,تقني شبكات واتصالات المؤسسة
63429.0,Technicien en télécommunications et réseaux d'entreprises,تقني في الاتصالات وشبكات المؤسسات
63428.0,Technicien en télécommunications,تقني في الاتصالات
